#	"Day"	"Source city ID"	"Target city ID"	"Value"
100	1036	728	16
100	1036	1191	16
100	1036	1506	8
100	1036	2185	2
100	1036	2263	18
100	1036	2594	2
100	1036	2712	16
100	1036	2867	16
100	1036	3046	16
100	1036	3223	8
100	1090	256	16
100	1198	2796	8
100	1535	20	16
100	2341	2118	8
100	2375	1541	16
100	2682	3251	16
100	2911	764	8
101	596	606	2
101	735	939	8
101	997	2351	16
101	1022	2321	16
101	1024	758	2
101	1024	1440	16
101	1024	2124	16
101	1024	2909	2
101	1024	3077	8
101	1024	3086	2
101	1036	2016	2
101	1036	2728	2
101	1036	2973	2
101	1036	3212	8
101	1216	1224	8
101	1714	271	8
102	96	95	16
102	473	407	8
102	997	2403	8
102	1024	151	2
102	1024	1014	8
102	1024	1230	16
102	1024	1405	8
102	1024	1530	8
102	1024	2520	16
102	1036	1511	8
102	1036	2403	16
102	1036	2418	2
102	1036	2471	24
102	1036	2825	8
102	1173	1167	2
102	2375	2825	8
102	2455	2326	16
103	596	604	2
103	1024	2883	2
103	1036	762	16
103	1036	2196	2
103	1036	2356	18
103	1216	1227	16
103	2042	1994	2
103	2244	2064	16
103	2821	1129	2
104	224	225	16
104	296	292	8
104	596	591	2
104	596	592	8
104	596	608	18
104	742	83	2
104	748	2899	8
104	789	1435	16
104	1024	635	16
104	1024	1694	8
104	1024	2391	16
104	1024	3081	2
104	1036	2095	16
104	1036	2357	16
104	1535	830	2
104	1990	103	16
104	2393	2369	8
104	2874	3084	16
104	3086	3096	16
105	262	1784	16
105	596	43	2
105	596	594	2
105	791	290	8
105	1023	1053	16
105	1023	2327	2
105	1024	139	2
105	1024	2893	2
105	1036	1228	2
105	1036	2110	8
105	1036	2117	16
105	1036	2123	2
105	1036	2187	16
105	1377	1380	16
105	1377	2886	16
105	1511	1505	2
105	1714	1718	2
105	2518	3137	8
105	2623	2742	16
106	262	56	16
106	596	2979	16
106	791	823	2
106	862	863	8
106	1024	839	16
106	1024	1409	16
106	1024	2027	16
106	1036	839	2
106	1036	1562	2
106	1036	1957	2
106	1036	2290	16
106	1216	1217	8
106	1535	2880	8
106	2397	2858	16
106	2408	2301	2
106	2874	2890	16
107	473	1196	16
107	596	192	16
107	596	1543	2
107	791	785	8
107	1036	1559	2
107	1036	2374	16
107	1036	2389	2
107	1036	2529	16
107	1036	3073	16
107	1374	1369	16
107	1377	1384	16
107	2441	648	2
107	2518	1855	2
107	2532	2921	16
107	2682	150	8
107	2682	3249	16
107	2874	824	8
107	3099	1068	16
108	596	73	16
108	596	391	8
108	596	1238	16
108	596	1566	16
108	1022	2079	8
108	1022	2480	16
108	1024	1203	2
108	1024	1214	16
108	1024	1491	8
108	1024	2002	16
108	1024	2079	2
108	1024	3083	8
108	1036	298	16
108	1036	788	2
108	1036	2045	16
108	1377	1366	2
108	1377	1378	16
108	1377	1404	16
108	1990	2005	8
108	2042	2025	16
108	2518	376	16
108	2518	1180	16
108	2532	1147	8
108	2911	1695	2
108	3181	898	8
109	596	588	16
109	596	1156	2
109	1024	636	16
109	1024	1488	16
109	1024	2891	16
109	1024	3144	8
109	1036	1394	16
109	1036	1595	2
109	1036	2247	16
109	1036	2309	16
109	1216	1213	16
